"release_id","lat","lon","release_time"
1,31.265,32.301,"00:00:00"
2,31.325,32.75,"00:00:00"
3,31.321,33.768,"00:00:00"
4,31.29,34.23,"00:00:00"
5,31.35,33.5,"00:00:00"
6,31.215,29.955,"00:00:00"
7,31.416,31.813,"00:00:00"
8,34.55,33.05,"00:00:00"
9,35,34.6,"00:00:00"
10,35.4,33.9,"00:00:00"
11,35.125,33.95,"00:00:00"
12,34.9,33.65,"00:00:00"
13,34.675,33.042,"00:00:00"
14,34.433,35.833,"00:00:00"
15,33.9,35.483,"00:00:00"
16,33.56,35.37,"00:00:00"
17,33.272,35.193,"00:00:00"
18,36.8,34.617,"00:00:00"
19,36.587,36.173,"00:00:00"
20,36.885,30.705,"00:00:00"
21,35.35,33,"00:00:00"
22,34.5,33.8,"00:00:00"
23,34,34.5,"00:00:00"
24,34,32.7,"00:00:00"
25,31.3,34,"00:00:00"
26,31.35,33.25,"00:00:00"
27,35.8,34,"00:00:00"
28,33.5,35,"00:00:00"
29,31.4,33.8,"00:00:00"
30,34.8,32.5,"00:00:00"
1,31.265,32.301,"00:15:00"
2,31.325,32.75,"00:15:00"
3,31.321,33.768,"00:15:00"
4,31.29,34.23,"00:15:00"
5,31.35,33.5,"00:15:00"
6,31.215,29.955,"00:15:00"
7,31.416,31.813,"00:15:00"
8,34.55,33.05,"00:15:00"
9,35,34.6,"00:15:00"
10,35.4,33.9,"00:15:00"
11,35.125,33.95,"00:15:00"
12,34.9,33.65,"00:15:00"
13,34.675,33.042,"00:15:00"
14,34.433,35.833,"00:15:00"
15,33.9,35.483,"00:15:00"
16,33.56,35.37,"00:15:00"
17,33.272,35.193,"00:15:00"
18,36.8,34.617,"00:15:00"
19,36.587,36.173,"00:15:00"
20,36.885,30.705,"00:15:00"
21,35.35,33,"00:15:00"
22,34.5,33.8,"00:15:00"
23,34,34.5,"00:15:00"
24,34,32.7,"00:15:00"
25,31.3,34,"00:15:00"
26,31.35,33.25,"00:15:00"
27,35.8,34,"00:15:00"
28,33.5,35,"00:15:00"
29,31.4,33.8,"00:15:00"
30,34.8,32.5,"00:15:00"
1,31.265,32.301,"00:30:00"
2,31.325,32.75,"00:30:00"
3,31.321,33.768,"00:30:00"
4,31.29,34.23,"00:30:00"
5,31.35,33.5,"00:30:00"
6,31.215,29.955,"00:30:00"
7,31.416,31.813,"00:30:00"
8,34.55,33.05,"00:30:00"
9,35,34.6,"00:30:00"
10,35.4,33.9,"00:30:00"
11,35.125,33.95,"00:30:00"
12,34.9,33.65,"00:30:00"
13,34.675,33.042,"00:30:00"
14,34.433,35.833,"00:30:00"
15,33.9,35.483,"00:30:00"
16,33.56,35.37,"00:30:00"
17,33.272,35.193,"00:30:00"
18,36.8,34.617,"00:30:00"
19,36.587,36.173,"00:30:00"
20,36.885,30.705,"00:30:00"
21,35.35,33,"00:30:00"
22,34.5,33.8,"00:30:00"
23,34,34.5,"00:30:00"
24,34,32.7,"00:30:00"
25,31.3,34,"00:30:00"
26,31.35,33.25,"00:30:00"
27,35.8,34,"00:30:00"
28,33.5,35,"00:30:00"
29,31.4,33.8,"00:30:00"
30,34.8,32.5,"00:30:00"
1,31.265,32.301,"00:45:00"
2,31.325,32.75,"00:45:00"
3,31.321,33.768,"00:45:00"
4,31.29,34.23,"00:45:00"
5,31.35,33.5,"00:45:00"
6,31.215,29.955,"00:45:00"
7,31.416,31.813,"00:45:00"
8,34.55,33.05,"00:45:00"
9,35,34.6,"00:45:00"
10,35.4,33.9,"00:45:00"
11,35.125,33.95,"00:45:00"
12,34.9,33.65,"00:45:00"
13,34.675,33.042,"00:45:00"
14,34.433,35.833,"00:45:00"
15,33.9,35.483,"00:45:00"
16,33.56,35.37,"00:45:00"
17,33.272,35.193,"00:45:00"
18,36.8,34.617,"00:45:00"
19,36.587,36.173,"00:45:00"
20,36.885,30.705,"00:45:00"
21,35.35,33,"00:45:00"
22,34.5,33.8,"00:45:00"
23,34,34.5,"00:45:00"
24,34,32.7,"00:45:00"
25,31.3,34,"00:45:00"
26,31.35,33.25,"00:45:00"
27,35.8,34,"00:45:00"
28,33.5,35,"00:45:00"
29,31.4,33.8,"00:45:00"
30,34.8,32.5,"00:45:00"
1,31.265,32.301,"01:00:00"
2,31.325,32.75,"01:00:00"
3,31.321,33.768,"01:00:00"
4,31.29,34.23,"01:00:00"
5,31.35,33.5,"01:00:00"
6,31.215,29.955,"01:00:00"
7,31.416,31.813,"01:00:00"
8,34.55,33.05,"01:00:00"
9,35,34.6,"01:00:00"
10,35.4,33.9,"01:00:00"
11,35.125,33.95,"01:00:00"
12,34.9,33.65,"01:00:00"
13,34.675,33.042,"01:00:00"
14,34.433,35.833,"01:00:00"
15,33.9,35.483,"01:00:00"
16,33.56,35.37,"01:00:00"
17,33.272,35.193,"01:00:00"
18,36.8,34.617,"01:00:00"
19,36.587,36.173,"01:00:00"
20,36.885,30.705,"01:00:00"
21,35.35,33,"01:00:00"
22,34.5,33.8,"01:00:00"
23,34,34.5,"01:00:00"
24,34,32.7,"01:00:00"
25,31.3,34,"01:00:00"
26,31.35,33.25,"01:00:00"
27,35.8,34,"01:00:00"
28,33.5,35,"01:00:00"
29,31.4,33.8,"01:00:00"
30,34.8,32.5,"01:00:00"
1,31.265,32.301,"01:15:00"
2,31.325,32.75,"01:15:00"
3,31.321,33.768,"01:15:00"
4,31.29,34.23,"01:15:00"
5,31.35,33.5,"01:15:00"
6,31.215,29.955,"01:15:00"
7,31.416,31.813,"01:15:00"
8,34.55,33.05,"01:15:00"
9,35,34.6,"01:15:00"
10,35.4,33.9,"01:15:00"
11,35.125,33.95,"01:15:00"
12,34.9,33.65,"01:15:00"
13,34.675,33.042,"01:15:00"
14,34.433,35.833,"01:15:00"
15,33.9,35.483,"01:15:00"
16,33.56,35.37,"01:15:00"
17,33.272,35.193,"01:15:00"
18,36.8,34.617,"01:15:00"
19,36.587,36.173,"01:15:00"
20,36.885,30.705,"01:15:00"
21,35.35,33,"01:15:00"
22,34.5,33.8,"01:15:00"
23,34,34.5,"01:15:00"
24,34,32.7,"01:15:00"
25,31.3,34,"01:15:00"
26,31.35,33.25,"01:15:00"
27,35.8,34,"01:15:00"
28,33.5,35,"01:15:00"
29,31.4,33.8,"01:15:00"
30,34.8,32.5,"01:15:00"
1,31.265,32.301,"01:30:00"
2,31.325,32.75,"01:30:00"
3,31.321,33.768,"01:30:00"
4,31.29,34.23,"01:30:00"
5,31.35,33.5,"01:30:00"
6,31.215,29.955,"01:30:00"
7,31.416,31.813,"01:30:00"
8,34.55,33.05,"01:30:00"
9,35,34.6,"01:30:00"
10,35.4,33.9,"01:30:00"
11,35.125,33.95,"01:30:00"
12,34.9,33.65,"01:30:00"
13,34.675,33.042,"01:30:00"
14,34.433,35.833,"01:30:00"
15,33.9,35.483,"01:30:00"
16,33.56,35.37,"01:30:00"
17,33.272,35.193,"01:30:00"
18,36.8,34.617,"01:30:00"
19,36.587,36.173,"01:30:00"
20,36.885,30.705,"01:30:00"
21,35.35,33,"01:30:00"
22,34.5,33.8,"01:30:00"
23,34,34.5,"01:30:00"
24,34,32.7,"01:30:00"
25,31.3,34,"01:30:00"
26,31.35,33.25,"01:30:00"
27,35.8,34,"01:30:00"
28,33.5,35,"01:30:00"
29,31.4,33.8,"01:30:00"
30,34.8,32.5,"01:30:00"
1,31.265,32.301,"01:45:00"
2,31.325,32.75,"01:45:00"
3,31.321,33.768,"01:45:00"
4,31.29,34.23,"01:45:00"
5,31.35,33.5,"01:45:00"
6,31.215,29.955,"01:45:00"
7,31.416,31.813,"01:45:00"
8,34.55,33.05,"01:45:00"
9,35,34.6,"01:45:00"
10,35.4,33.9,"01:45:00"
11,35.125,33.95,"01:45:00"
12,34.9,33.65,"01:45:00"
13,34.675,33.042,"01:45:00"
14,34.433,35.833,"01:45:00"
15,33.9,35.483,"01:45:00"
16,33.56,35.37,"01:45:00"
17,33.272,35.193,"01:45:00"
18,36.8,34.617,"01:45:00"
19,36.587,36.173,"01:45:00"
20,36.885,30.705,"01:45:00"
21,35.35,33,"01:45:00"
22,34.5,33.8,"01:45:00"
23,34,34.5,"01:45:00"
24,34,32.7,"01:45:00"
25,31.3,34,"01:45:00"
26,31.35,33.25,"01:45:00"
27,35.8,34,"01:45:00"
28,33.5,35,"01:45:00"
29,31.4,33.8,"01:45:00"
30,34.8,32.5,"01:45:00"
1,31.265,32.301,"02:00:00"
2,31.325,32.75,"02:00:00"
3,31.321,33.768,"02:00:00"
4,31.29,34.23,"02:00:00"
5,31.35,33.5,"02:00:00"
6,31.215,29.955,"02:00:00"
7,31.416,31.813,"02:00:00"
8,34.55,33.05,"02:00:00"
9,35,34.6,"02:00:00"
10,35.4,33.9,"02:00:00"
11,35.125,33.95,"02:00:00"
12,34.9,33.65,"02:00:00"
13,34.675,33.042,"02:00:00"
14,34.433,35.833,"02:00:00"
15,33.9,35.483,"02:00:00"
16,33.56,35.37,"02:00:00"
17,33.272,35.193,"02:00:00"
18,36.8,34.617,"02:00:00"
19,36.587,36.173,"02:00:00"
20,36.885,30.705,"02:00:00"
21,35.35,33,"02:00:00"
22,34.5,33.8,"02:00:00"
23,34,34.5,"02:00:00"
24,34,32.7,"02:00:00"
25,31.3,34,"02:00:00"
26,31.35,33.25,"02:00:00"
27,35.8,34,"02:00:00"
28,33.5,35,"02:00:00"
29,31.4,33.8,"02:00:00"
30,34.8,32.5,"02:00:00"
1,31.265,32.301,"02:15:00"
2,31.325,32.75,"02:15:00"
3,31.321,33.768,"02:15:00"
4,31.29,34.23,"02:15:00"
5,31.35,33.5,"02:15:00"
6,31.215,29.955,"02:15:00"
7,31.416,31.813,"02:15:00"
8,34.55,33.05,"02:15:00"
9,35,34.6,"02:15:00"
10,35.4,33.9,"02:15:00"
11,35.125,33.95,"02:15:00"
12,34.9,33.65,"02:15:00"
13,34.675,33.042,"02:15:00"
14,34.433,35.833,"02:15:00"
15,33.9,35.483,"02:15:00"
16,33.56,35.37,"02:15:00"
17,33.272,35.193,"02:15:00"
18,36.8,34.617,"02:15:00"
19,36.587,36.173,"02:15:00"
20,36.885,30.705,"02:15:00"
21,35.35,33,"02:15:00"
22,34.5,33.8,"02:15:00"
23,34,34.5,"02:15:00"
24,34,32.7,"02:15:00"
25,31.3,34,"02:15:00"
26,31.35,33.25,"02:15:00"
27,35.8,34,"02:15:00"
28,33.5,35,"02:15:00"
29,31.4,33.8,"02:15:00"
30,34.8,32.5,"02:15:00"
1,31.265,32.301,"02:30:00"
2,31.325,32.75,"02:30:00"
3,31.321,33.768,"02:30:00"
4,31.29,34.23,"02:30:00"
5,31.35,33.5,"02:30:00"
6,31.215,29.955,"02:30:00"
7,31.416,31.813,"02:30:00"
8,34.55,33.05,"02:30:00"
9,35,34.6,"02:30:00"
10,35.4,33.9,"02:30:00"
11,35.125,33.95,"02:30:00"
12,34.9,33.65,"02:30:00"
13,34.675,33.042,"02:30:00"
14,34.433,35.833,"02:30:00"
15,33.9,35.483,"02:30:00"
16,33.56,35.37,"02:30:00"
17,33.272,35.193,"02:30:00"
18,36.8,34.617,"02:30:00"
19,36.587,36.173,"02:30:00"
20,36.885,30.705,"02:30:00"
21,35.35,33,"02:30:00"
22,34.5,33.8,"02:30:00"
23,34,34.5,"02:30:00"
24,34,32.7,"02:30:00"
25,31.3,34,"02:30:00"
26,31.35,33.25,"02:30:00"
27,35.8,34,"02:30:00"
28,33.5,35,"02:30:00"
29,31.4,33.8,"02:30:00"
30,34.8,32.5,"02:30:00"
1,31.265,32.301,"02:45:00"
2,31.325,32.75,"02:45:00"
3,31.321,33.768,"02:45:00"
4,31.29,34.23,"02:45:00"
5,31.35,33.5,"02:45:00"
6,31.215,29.955,"02:45:00"
7,31.416,31.813,"02:45:00"
8,34.55,33.05,"02:45:00"
9,35,34.6,"02:45:00"
10,35.4,33.9,"02:45:00"
11,35.125,33.95,"02:45:00"
12,34.9,33.65,"02:45:00"
13,34.675,33.042,"02:45:00"
14,34.433,35.833,"02:45:00"
15,33.9,35.483,"02:45:00"
16,33.56,35.37,"02:45:00"
17,33.272,35.193,"02:45:00"
18,36.8,34.617,"02:45:00"
19,36.587,36.173,"02:45:00"
20,36.885,30.705,"02:45:00"
21,35.35,33,"02:45:00"
22,34.5,33.8,"02:45:00"
23,34,34.5,"02:45:00"
24,34,32.7,"02:45:00"
25,31.3,34,"02:45:00"
26,31.35,33.25,"02:45:00"
27,35.8,34,"02:45:00"
28,33.5,35,"02:45:00"
29,31.4,33.8,"02:45:00"
30,34.8,32.5,"02:45:00"
